2017-12-17 18:38:52 INFO  Version:66 - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
2017-12-17 18:38:52 INFO  Dialect:157 - HHH000400: Using dialect: com.enigmabridge.hibernate.dialect.SQLiteDialect
2017-12-17 18:38:52 INFO  LobCreatorBuilderImpl:98 - HHH000423: Disabling contextual LOB creation as JDBC driver reported JDBC version [2] less than 4
2017-12-17 18:38:53 INFO  HibernateTransactionManager:378 - Using DataSource [org.springframework.jdbc.datasource.DriverManagerDataSource@2de0c3] of Hibernate SessionFactory for HibernateTransactionManager
2017-12-17 18:38:55 INFO  QueryTranslatorFactoryInitiator:47 - HHH000397: Using ASTQueryTranslatorFactory
2017-12-17 18:38:55 INFO  MyLogger:50 - Извлечение всех записей из таблицы subscriptions
2017-12-17 18:38:56 INFO  MyLogger:50 - Извлечение всех записей из таблицы books
2017-12-17 18:38:56 INFO  MyLogger:50 - Извлечение всех записей из таблицы readers
2017-12-17 19:01:24 INFO  AnnotationConfigApplicationContext:589 - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@324bfa: startup date [Sun Dec 17 19:01:24 MSK 2017]; root of context hierarchy
2017-12-17 19:01:24 INFO  AutowiredAnnotationBeanPostProcessor:154 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-12-17 19:01:24 INFO  MyLogger:42 - Настройки логирования загружены!
2017-12-17 19:01:24 INFO  MyLogger:50 - Загрузка настроек...
2017-12-17 19:01:24 INFO  MyLogger:50 - Загрузка настроек завершена
2017-12-17 19:01:24 INFO  DriverManagerDataSource:133 - Loaded JDBC driver: org.sqlite.JDBC
2017-12-17 19:01:25 INFO  Version:45 - HHH000412: Hibernate Core {5.2.12.Final}
2017-12-17 19:01:25 INFO  Environment:213 - HHH000206: hibernate.properties not found
2017-12-17 19:01:25 INFO  Version:66 - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
2017-12-17 19:01:25 INFO  Dialect:157 - HHH000400: Using dialect: com.enigmabridge.hibernate.dialect.SQLiteDialect
2017-12-17 19:01:25 INFO  LobCreatorBuilderImpl:98 - HHH000423: Disabling contextual LOB creation as JDBC driver reported JDBC version [2] less than 4
2017-12-17 19:01:26 INFO  HibernateTransactionManager:378 - Using DataSource [org.springframework.jdbc.datasource.DriverManagerDataSource@2de0c3] of Hibernate SessionFactory for HibernateTransactionManager
2017-12-17 19:01:26 INFO  QueryTranslatorFactoryInitiator:47 - HHH000397: Using ASTQueryTranslatorFactory
2017-12-17 19:01:26 INFO  MyLogger:50 - Извлечение всех записей из таблицы subscriptions
2017-12-17 19:01:26 INFO  MyLogger:50 - Извлечение всех записей из таблицы books
2017-12-17 19:01:27 INFO  MyLogger:50 - Извлечение всех записей из таблицы readers
2017-12-17 19:04:48 INFO  AnnotationConfigApplicationContext:589 - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@324bfa: startup date [Sun Dec 17 19:04:48 MSK 2017]; root of context hierarchy
2017-12-17 19:04:48 INFO  AutowiredAnnotationBeanPostProcessor:154 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-12-17 19:04:48 INFO  MyLogger:42 - Настройки логирования загружены!
2017-12-17 19:04:48 INFO  MyLogger:50 - Загрузка настроек...
2017-12-17 19:04:48 INFO  MyLogger:50 - Загрузка настроек завершена
2017-12-17 19:04:48 INFO  DriverManagerDataSource:133 - Loaded JDBC driver: org.sqlite.JDBC
2017-12-17 19:04:48 INFO  Version:45 - HHH000412: Hibernate Core {5.2.12.Final}
2017-12-17 19:04:48 INFO  Environment:213 - HHH000206: hibernate.properties not found
2017-12-17 19:04:48 INFO  Version:66 - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
2017-12-17 19:04:49 INFO  Dialect:157 - HHH000400: Using dialect: com.enigmabridge.hibernate.dialect.SQLiteDialect
2017-12-17 19:04:49 INFO  LobCreatorBuilderImpl:98 - HHH000423: Disabling contextual LOB creation as JDBC driver reported JDBC version [2] less than 4
2017-12-17 19:04:49 INFO  HibernateTransactionManager:378 - Using DataSource [org.springframework.jdbc.datasource.DriverManagerDataSource@2de0c3] of Hibernate SessionFactory for HibernateTransactionManager
2017-12-17 19:04:50 INFO  QueryTranslatorFactoryInitiator:47 - HHH000397: Using ASTQueryTranslatorFactory
2017-12-17 19:04:50 INFO  MyLogger:50 - Извлечение всех записей из таблицы subscriptions
2017-12-17 19:04:50 INFO  MyLogger:50 - Извлечение всех записей из таблицы books
2017-12-17 19:04:50 INFO  MyLogger:50 - Извлечение всех записей из таблицы readers
